#detId FED harn
872427080 602 8
872427207 602 8
872427079 602 8
872427082 602 8
872426954 602 8
872426953 602 8
872426952 602 8
872426951 602 8
872424262 602 7
872424261 602 7
872424260 602 7
872424132 602 7
872424259 602 7
872424131 602 7
872424003 602 7
872424258 602 7
872424130 602 7
872424002 602 7
872424134 602 7
872424006 602 7
872423878 602 7
872424133 602 7
872424005 602 7
872424004 602 7
872423876 602 7
872423875 602 7
872423874 602 7
872423746 602 7
872423750 602 7
872423877 602 7
872423749 602 7
872423748 602 7
872423747 602 7
872424902 602 6
872424774 602 6
872424901 602 6
872424773 602 6
872424900 602 6
872424772 602 6
872424899 602 6
872424771 602 6
872424898 602 6
872424770 602 6
872424645 602 6
872424644 602 6
872424643 602 6
872424642 602 6
872424514 602 6
872424646 602 6
872424518 602 6
872424390 602 6
872424517 602 6
872424389 602 6
872424516 602 6
872424388 602 6
872424515 602 6
872424387 602 6
872424386 602 6
872425540 602 6
872425539 602 6
872425411 602 6
872425538 602 6
872425410 602 6
872425542 602 6
872425414 602 6
872425541 602 6
872425413 602 6
872425412 602 6
872425286 602 6
872425285 602 6
872425284 602 6
872425156 602 6
872425283 602 6
872425155 602 6
872425027 602 6
872425282 602 6
872425154 602 6
872425026 602 6
872425158 602 6
872425030 602 6
872425157 602 6
872425029 602 6
872425028 602 6
872426182 602 5
872426181 602 5
872426180 602 5
872426179 602 5
872426178 602 5
872426053 602 5
872426052 602 5
872426051 602 5
872426050 602 5
872425922 602 5
872425925 602 5
872425924 602 5
872425796 602 5
872425923 602 5
872425795 602 5
872426054 602 5
872425926 602 5
872425798 602 5
872425670 602 5
872425797 602 5
872425669 602 5
872425668 602 5
872425667 602 5
872425794 602 5
872425666 602 5
872426821 602 8
872426820 602 8
872426819 602 8
872426818 602 8
872426690 602 8
872426822 602 8
872426694 602 8
872426566 602 8
872426693 602 8
872426565 602 8
872426692 602 8
872426564 602 8
872426691 602 8
872426563 602 8
872426562 602 8
872426438 602 8
872426310 602 8
872426437 602 8
872426309 602 8
872426436 602 8
872426308 602 8
872426435 602 8
872426307 602 8
872426434 602 8
872426306 602 8
872427462 602 8
872427334 602 8
872427461 602 8
872427333 602 8
872427460 602 8
872427459 602 8
872427458 602 8
872427330 602 8
872427202 602 8
872427074 602 8
872427205 602 8
